inst                      ub
SBF2-0.25/bowman8_c=20    5
SBF2-0.25/mansoor_c=48    4
SBF2-0.25/mansoor_c=62    3
SBF2-0.25/mansoor_c=94    2
SBF2-0.25/mertens_c=6     6
SBF2-0.25/mertens_c=7     5
SBF2-0.25/mertens_c=8     5
SBF2-0.25/mertens_c=10    3
SBF2-0.25/mertens_c=15    2
SBF2-0.25/mertens_c=18    2
SBF2-0.25/jaeschke_c=6    8
SBF2-0.25/jaeschke_c=7    7
SBF2-0.25/jaeschke_c=8    6
SBF2-0.25/jaeschke_c=10   4
SBF2-0.25/jaeschke_c=18   3
SBF2-0.25/jackson_c=7     8
SBF2-0.25/jackson_c=9     6
SBF2-0.25/jackson_c=10    5
SBF2-0.25/jackson_c=13    4
SBF2-0.25/jackson_c=14    4
SBF2-0.25/jackson_c=21    3
SBF2-0.25/mitchell_c=14   8
SBF2-0.25/mitchell_c=15   8
SBF2-0.25/mitchell_c=21   5
SBF2-0.25/mitchell_c=26   5
SBF2-0.25/mitchell_c=35   3
SBF2-0.25/mitchell_c=39   3
SBF2-0.25/heskia_c=138    8
SBF2-0.25/heskia_c=205    6
SBF2-0.25/heskia_c=216    5
SBF2-0.25/heskia_c=256    4
SBF2-0.25/heskia_c=324    4
SBF2-0.25/heskia_c=342    3
SBF2-0.25/sawyer30_c=25   14
SBF2-0.25/sawyer30_c=27   13
SBF2-0.25/sawyer30_c=30   12
SBF2-0.25/sawyer30_c=36   10
SBF2-0.25/sawyer30_c=41   9
SBF2-0.25/sawyer30_c=54   7
SBF2-0.25/sawyer30_c=75   5
SBF2-0.25/kilbrid_c=57    10
SBF2-0.25/kilbrid_c=79    8
SBF2-0.25/kilbrid_c=92    7
SBF2-0.25/kilbrid_c=110   6
SBF2-0.25/kilbrid_c=138   5
SBF2-0.25/kilbrid_c=184   4
SBF2-0.25/Tonge70_c=176   22
SBF2-0.25/tonge70_c=364   10
SBF2-0.25/tonge70_c=410   9
SBF2-0.25/tonge70_c=468   8
SBF2-0.25/tonge70_c=527   7
SBF2-0.25/Arc83_c=5048    16
SBF2-0.25/arc83_c=5853    14
SBF2-0.25/arc83_c=6842    12
SBF2-0.25/Arc83_c=7571    11
SBF2-0.25/arc83_c=8412    10
SBF2-0.25/arc83_c=8898    9
SBF2-0.25/arc83_c=10816   8
SBF2-0.25/arc111_c=5755   28
SBF2-0.25/arc111_c=8847   18
SBF2-0.25/Arc111_c=10027  16
SBF2-0.25/Arc111_c=10743  15
SBF2-0.25/arc111_c=11378  14
SBF2-0.25/Arc111_c=17067  9
SBF2-0.25/Sawyer30_c=33   11
SBF2-0.25/Sawyer30_c=47   8
SBF2-0.25/kilbrid_c=56    11
SBF2-0.25/kilbrid_c=62    10
SBF2-0.25/kilbrid_c=69    9
SBF2-0.25/kilbrid_c=111   6
SBF2-0.25/Tonge70_c=160   24
SBF2-0.25/Tonge70_c=168   22
SBF2-0.25/Tonge70_c=185   20
SBF2-0.25/Tonge70_c=195   19
SBF2-0.25/Tonge70_c=207   18
SBF2-0.25/Tonge70_c=220   17
SBF2-0.25/Tonge70_c=234   16
SBF2-0.25/Tonge70_c=251   15
SBF2-0.25/Tonge70_c=270   14
SBF2-0.25/Tonge70_c=293   13
