inst,elapsed,alg,lb,ub,blb
mp/ARC83.IN2_TS0.25_EJ1,0.156256814,S_hoffmann/cbfs,8,8,8
mp/ARC83.IN2_TS0.25_EJ10,125.148029341,S_hoffmann/cbfs,12,13,12
mp/ARC83.IN2_TS0.25_EJ2,1.987555454,S_hoffmann/cbfs,16,16,16
mp/ARC83.IN2_TS0.25_EJ3,0.440799589,S_hoffmann/cbfs,8,8,8
mp/ARC83.IN2_TS0.25_EJ4,12.010539556,S_hoffmann/cbfs,10,10,10
mp/ARC83.IN2_TS0.25_EJ5,1.702937359,S_hoffmann/cbfs,13,13,13
mp/ARC83.IN2_TS0.25_EJ6,121.000262561,S_hoffmann/cbfs,9,10,9
mp/ARC83.IN2_TS0.25_EJ7,0.079045047,S_hoffmann/cbfs,13,13,13
mp/ARC83.IN2_TS0.25_EJ8,0.383180212,S_hoffmann/cbfs,8,8,8
mp/ARC83.IN2_TS0.25_EJ9,0.137167407,S_hoffmann/cbfs,14,14,14
mp/ARC83.IN2_TS0.25-med_EJ1,120.008850662,S_hoffmann/cbfs,21,22,21
mp/ARC83.IN2_TS0.25-med_EJ10,132.179620203,S_hoffmann/cbfs,12,13,12
mp/ARC83.IN2_TS0.25-med_EJ2,2.450289381,S_hoffmann/cbfs,12,12,12
mp/ARC83.IN2_TS0.25-med_EJ3,1.923660245,S_hoffmann/cbfs,11,11,11
mp/ARC83.IN2_TS0.25-med_EJ4,2.232174752,S_hoffmann/cbfs,12,12,12
mp/ARC83.IN2_TS0.25-med_EJ5,33.132724645,S_hoffmann/cbfs,13,13,13
mp/ARC83.IN2_TS0.25-med_EJ6,1.062023604,S_hoffmann/cbfs,19,19,19
mp/ARC83.IN2_TS0.25-med_EJ7,1.479443001,S_hoffmann/cbfs,12,12,12
mp/ARC83.IN2_TS0.25-med_EJ8,1.420517984,S_hoffmann/cbfs,20,20,20
mp/ARC83.IN2_TS0.25-med_EJ9,48.207185635,S_hoffmann/cbfs,12,12,12
mp/ARC83.IN2_TS0.75_EJ1,125.127817483,S_hoffmann/cbfs,14,15,14
mp/ARC83.IN2_TS0.75_EJ10,1.118479331,S_hoffmann/cbfs,15,15,15
