set,alpha,inst,n,lm1,lms1,lm2,lm3,lm4
mp,NA,ARC83.IN2_TS0.25_EJ1,83,8,8,0,1,8
mp,NA,ARC83.IN2_TS0.25_EJ10,83,12,12,1,2,12
mp,NA,ARC83.IN2_TS0.25_EJ2,83,15,15,2,5,15
mp,NA,ARC83.IN2_TS0.25_EJ3,83,8,8,0,1,8
mp,NA,ARC83.IN2_TS0.25_EJ4,83,9,9,0,1,10
mp,NA,ARC83.IN2_TS0.25_EJ5,83,12,12,1,2,12
mp,NA,ARC83.IN2_TS0.25_EJ6,83,9,9,0,1,9
mp,NA,ARC83.IN2_TS0.25_EJ7,83,13,13,1,3,13
mp,NA,ARC83.IN2_TS0.25_EJ8,83,8,8,0,1,8
mp,NA,ARC83.IN2_TS0.25_EJ9,83,14,14,2,3,14
mp,NA,ARC83.IN2_TS0.25-med_EJ1,83,20,20,5,7,20
mp,NA,ARC83.IN2_TS0.25-med_EJ10,83,12,12,1,2,12
mp,NA,ARC83.IN2_TS0.25-med_EJ2,83,11,11,1,2,12
mp,NA,ARC83.IN2_TS0.25-med_EJ3,83,11,11,0,2,11
mp,NA,ARC83.IN2_TS0.25-med_EJ4,83,12,12,1,2,12
mp,NA,ARC83.IN2_TS0.25-med_EJ5,83,13,13,1,3,13
mp,NA,ARC83.IN2_TS0.25-med_EJ6,83,18,18,4,6,18
mp,NA,ARC83.IN2_TS0.25-med_EJ7,83,11,11,1,2,12
mp,NA,ARC83.IN2_TS0.25-med_EJ8,83,19,19,4,6,19
mp,NA,ARC83.IN2_TS0.25-med_EJ9,83,12,12,1,2,12
mp,NA,ARC83.IN2_TS0.75_EJ1,83,14,14,2,3,14
mp,NA,ARC83.IN2_TS0.75_EJ10,83,14,14,2,4,14
mp,NA,ARC83.IN2_TS0.75_EJ2,83,9,9,0,1,9
mp,NA,ARC83.IN2_TS0.75_EJ3,83,11,11,1,2,12
mp,NA,ARC83.IN2_TS0.75_EJ4,83,9,9,0,1,9
mp,NA,ARC83.IN2_TS0.75_EJ5,83,8,8,0,1,8
mp,NA,ARC83.IN2_TS0.75_EJ6,83,9,9,0,1,9
mp,NA,ARC83.IN2_TS0.75_EJ7,83,11,11,1,2,11
mp,NA,ARC83.IN2_TS0.75_EJ8,83,10,10,0,1,10
mp,NA,ARC83.IN2_TS0.75_EJ9,83,8,8,0,1,8
mp,NA,ARC83.IN2_TS0.75-med_EJ1,83,14,14,2,3,14
mp,NA,ARC83.IN2_TS0.75-med_EJ10,83,15,16,2,5,16
mp,NA,ARC83.IN2_TS0.75-med_EJ2,83,20,20,5,6,20
mp,NA,ARC83.IN2_TS0.75-med_EJ3,83,11,11,1,2,11
mp,NA,ARC83.IN2_TS0.75-med_EJ4,83,11,12,1,2,12
mp,NA,ARC83.IN2_TS0.75-med_EJ5,83,15,16,2,5,16
mp,NA,ARC83.IN2_TS0.75-med_EJ6,83,11,11,0,2,11
mp,NA,ARC83.IN2_TS0.75-med_EJ7,83,11,12,1,2,12
mp,NA,ARC83.IN2_TS0.75-med_EJ8,83,11,11,1,2,11
mp,NA,ARC83.IN2_TS0.75-med_EJ9,83,19,19,5,6,20
mp,NA,BARTHOL2.IN2_TS0.25_EJ1,148,40,40,15,24,40
mp,NA,BARTHOL2.IN2_TS0.25_EJ10,148,37,37,12,22,37
mp,NA,BARTHOL2.IN2_TS0.25_EJ2,148,29,29,6,10,29
mp,NA,BARTHOL2.IN2_TS0.25_EJ3,148,44,44,20,29,44
mp,NA,BARTHOL2.IN2_TS0.25_EJ4,148,28,28,6,10,28
mp,NA,BARTHOL2.IN2_TS0.25_EJ5,148,26,26,1,7,26
mp,NA,BARTHOL2.IN2_TS0.25_EJ6,148,43,43,20,27,43
mp,NA,BARTHOL2.IN2_TS0.25_EJ7,148,46,46,27,34,46
mp,NA,BARTHOL2.IN2_TS0.25_EJ8,148,39,39,15,24,39
mp,NA,BARTHOL2.IN2_TS0.25_EJ9,148,41,41,18,25,41
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ1,148,26,26,1,8,26
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ10,148,50,50,30,38,50
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ2,148,50,50,30,38,50
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ3,148,27,27,2,8,27
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ4,148,28,28,6,9,28
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ5,148,28,28,6,9,28
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ6,148,29,29,6,10,29
mp,NA,BARTHOL2.IN2_TS0.25-med_EJ7,148,37,37,12,22,37
