set,alpha,inst,n,ub10,ub100,ub500,ub1000,sub,t10,t100,t500,t1000
SBF1,0.25,Arc111_c=10027,111,17,16,16,16,16,0.232911047,0.592945944,0.589287004,0.584581481
SBF1,0.25,Arc111_c=10743,111,15,15,15,15,15,0.046785634,0.046545975,0.047110216,0.04662941
SBF1,0.25,arc111_c=11378,111,14,14,14,14,15,0.239406389,0.239876329,0.244096229,0.246008315
SBF1,0.25,Arc111_c=11570,111,14,14,14,14,14,0.045231949,0.045136251,0.045222538,0.045564671
SBF1,0.25,Arc111_c=17067,111,10,10,10,10,10,0.115861117,0.370734083,1.737447806,3.46309029
SBF1,0.25,arc111_c=5755,111,28,28,27,27,28,0.118337145,0.373006676,1.637604942,1.653319845
SBF1,0.25,Arc111_c=5785,111,28,28,28,28,28,0.128441322,0.396423246,1.862501533,3.787574577
SBF1,0.25,Arc111_c=6016,111,28,28,28,28,28,0.122732709,0.438561025,2.034128915,4.200307182
SBF1,0.25,Arc111_c=6267,111,27,27,27,27,27,0.123600268,0.363473831,1.685463977,3.44341295
SBF1,0.25,Arc111_c=6540,111,26,26,26,26,26,0.130606885,0.466590421,2.05292012,4.174310472
SBF1,0.25,Arc111_c=6837,111,25,25,25,25,25,0.135531365,0.45428809,2.039186704,4.083755656
SBF1,0.25,Arc111_c=7162,111,23,23,23,23,23,0.137261351,0.47507523,2.171756081,4.489905894
SBF1,0.25,Arc111_c=7520,111,22,22,22,22,22,0.134251403,0.506201574,2.379591117,5.119513886
SBF1,0.25,Arc111_c=7916,111,21,21,21,21,21,0.141872647,0.52463937,2.400687304,5.48882903
SBF1,0.25,Arc111_c=8356,111,20,20,20,20,20,0.177811025,0.720258353,3.479893719,7.11100073
SBF1,0.25,arc111_c=8847,111,19,19,19,19,19,0.16797154,0.641221703,3.084143914,6.325357355
SBF1,0.25,Arc111_c=9400,111,17,17,17,17,18,0.043839024,0.043639559,0.045234848,0.077906039
SBF1,0.25,arc83_c=10816,83,8,8,8,8,8,0.01295426,0.012962691,0.013265097,0.01335117
SBF1,0.25,Arc83_c=3786,83,23,22,22,22,22,0.02369063,0.043239222,0.129442656,0.283797859
SBF1,0.25,Arc83_c=3985,83,23,23,22,22,22,0.02503606,0.045872051,0.135878555,0.28564012
SBF1,0.25,Arc83_c=4206,83,21,21,21,21,21,0.025696317,0.052330712,0.154768043,0.332385678
SBF1,0.25,Arc83_c=4454,83,20,20,20,20,20,0.028101671,0.063927422,0.203040058,0.451369956
SBF1,0.25,Arc83_c=4732,83,19,19,19,18,19,0.032882645,0.086289288,0.311133563,0.701486342
SBF1,0.25,Arc83_c=5048,83,17,17,17,17,17,0.034399601,0.107266715,0.391345747,0.88037964
SBF1,0.25,Arc83_c=5408,83,16,16,16,16,16,0.036420676,0.11996714,0.519807406,1.120209217
SBF1,0.25,Arc83_c=5824,83,15,15,15,15,15,0.037761025,0.126648364,0.587625184,1.262488199
SBF1,0.25,arc83_c=5853,83,15,15,15,15,15,0.041646493,0.133899317,0.599101118,1.186564335
SBF1,0.25,Arc83_c=6309,83,14,14,14,14,14,0.045702102,0.156086826,0.738624725,1.473810996
