inst,elapsed,alg,lb,ub
mp/ARC83.IN2_TS0.25_EJ1,0.015351428,ro-sbf,8,8
mp/ARC83.IN2_TS0.25_EJ1,0.01892782,ro-asq,8,8
mp/ARC83.IN2_TS0.25_EJ1,0.015948293,ro-mprule,8,8
mp/ARC83.IN2_TS0.25_EJ1,0.015229578,ro-random,8,8
mp/ARC83.IN2_TS0.25_EJ10,2.949495134,ro-asq,12,13
mp/ARC83.IN2_TS0.25_EJ10,2.209392447,ro-sbf,12,13
mp/ARC83.IN2_TS0.25_EJ10,0.016412789,ro-mprule,12,13
mp/ARC83.IN2_TS0.25_EJ10,0.863957986,ro-random,12,13
mp/ARC83.IN2_TS0.25_EJ2,0.016576627,ro-mprule,15,16
mp/ARC83.IN2_TS0.25_EJ2,1.874852392,ro-sbf,15,16
mp/ARC83.IN2_TS0.25_EJ2,0.680528556,ro-random,15,16
mp/ARC83.IN2_TS0.25_EJ2,2.012378374,ro-asq,15,16
mp/ARC83.IN2_TS0.25_EJ3,0.167629877,ro-asq,8,9
mp/ARC83.IN2_TS0.25_EJ3,0.098749272,ro-random,8,9
mp/ARC83.IN2_TS0.25_EJ3,0.016115362,ro-mprule,8,9
mp/ARC83.IN2_TS0.25_EJ3,0.33971514,ro-sbf,8,9
mp/ARC83.IN2_TS0.25_EJ4,0.017446318,ro-sbf,10,10
mp/ARC83.IN2_TS0.25_EJ4,0.017865238,ro-mprule,10,10
mp/ARC83.IN2_TS0.25_EJ4,0.015030815,ro-random,10,10
mp/ARC83.IN2_TS0.25_EJ4,0.015780529,ro-asq,10,10
mp/ARC83.IN2_TS0.25_EJ5,2.240944167,ro-sbf,12,13
mp/ARC83.IN2_TS0.25_EJ5,2.871092781,ro-asq,12,13
mp/ARC83.IN2_TS0.25_EJ5,0.016698581,ro-mprule,12,13
mp/ARC83.IN2_TS0.25_EJ5,0.848469831,ro-random,12,13
mp/ARC83.IN2_TS0.25_EJ6,0.015074716,ro-mprule,9,10
mp/ARC83.IN2_TS0.25_EJ6,0.450575808,ro-sbf,9,10
mp/ARC83.IN2_TS0.25_EJ6,0.110911323,ro-random,9,10
mp/ARC83.IN2_TS0.25_EJ6,0.501138438,ro-asq,9,10
mp/ARC83.IN2_TS0.25_EJ7,0.03797233,ro-asq,13,13
mp/ARC83.IN2_TS0.25_EJ7,0.737759346,ro-random,13,13
mp/ARC83.IN2_TS0.25_EJ7,0.017442941,ro-mprule,13,13
mp/ARC83.IN2_TS0.25_EJ7,0.123749258,ro-sbf,13,13
mp/ARC83.IN2_TS0.25_EJ8,0.088793155,ro-random,8,9
mp/ARC83.IN2_TS0.25_EJ8,0.239171619,ro-sbf,8,9
mp/ARC83.IN2_TS0.25_EJ8,0.015087205,ro-mprule,8,9
mp/ARC83.IN2_TS0.25_EJ8,0.155077679,ro-asq,8,9
mp/ARC83.IN2_TS0.25_EJ9,0.137741235,ro-asq,14,14
mp/ARC83.IN2_TS0.25_EJ9,0.815559756,ro-random,14,15
mp/ARC83.IN2_TS0.25_EJ9,0.016627227,ro-mprule,14,15
mp/ARC83.IN2_TS0.25_EJ9,0.029841249,ro-sbf,14,14
mp/ARC83.IN2_TS0.25-med_EJ1,0.01537009,ro-mprule,20,23
mp/ARC83.IN2_TS0.25-med_EJ1,0.46756262,ro-sbf,20,22
mp/ARC83.IN2_TS0.25-med_EJ1,0.523647225,ro-asq,20,23
mp/ARC83.IN2_TS0.25-med_EJ1,0.242386584,ro-random,20,23
mp/ARC83.IN2_TS0.25-med_EJ10,3.37432388,ro-asq,12,13
mp/ARC83.IN2_TS0.25-med_EJ10,0.016004608,ro-mprule,12,13
mp/ARC83.IN2_TS0.25-med_EJ10,2.400288645,ro-sbf,12,13
mp/ARC83.IN2_TS0.25-med_EJ10,0.939228966,ro-random,12,13
